AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 13009,10,,,Priya,"Priya sisters, Usha Rajagopalan, K.V. Prasad, E.M. Subramanian",,y,,KKV
AWM SC 13010,10,,,Priya,"Priya sisters, Usha Rajagopalan, K.V. Prasad, Vaikkom R. Gupalakrishnan",AUM Cassette ,y,,KKV
AWM SC 13011,10,,,Priya,"Priya sisters, Usha Rajasopalan, K.V. Prasad, E.M. Subramanian",,y,,KKV
AWM SC 13012,10,,,Radha ,Radha Jayalakshmi / Bombay Sisters,Papwasam sivan compositions / Thyagaraja's thiruvithriyur pancharatna krithis,y,Apr-91,KKV
AWM SC 13013,10,,,Radha ,Radha Jayalakshmi & M.S. Anamacharyya Kritis,,,,
AWM SC 13014,10,,,Radha ,Radha Jayalakshmi / Yesudaf,Purandaradasa Kritis / Ayyappan Songs,,,
AWM SC 13015,10,6TC 04F 5006B,,Rafi,Mohd Rafi,Down Memory Lane with Mohd Rafi,y,,
AWM SC 13016(1),10,,,Raghunathan,"Sudha Raghunathan, K. Sivaraman, Thiruvarur Vaidyanathan, S. Karthick",(1 of 2),y,Mar-91,KKV
AWM SC 13016(2),10,,,Raghunathan,"Sudha Raghunathan, K. Sivaraman, Thiruvarur Vaidyanathan, S. Karthick",(2 of 2),y,Mar-91,KKV
AWM SC 13017,10,,,Raghunathan,"Sudita Raghunathan (Vocal), Kisivaramthan, T. Vaidyanathan, S. Karthie, T.D. Balm",,y,Mar-91,KKV
AWM SC 13018(1),10,,,Raghunathan,"Sudha Raghunathan - Cmana, V.V. Ravi, Thiruvbrur Vaidyanathan",(1 of 3),y,"Rutgers University, 10/17/1992",KKV
AWM SC 13018(2),10,,,Raghunathan,"Sudha Raghunathan - Cmana, V.V. Ravi, Thiruvbrur Vaidyanathan",(2 of 3),y,"Rutgers University, 10/17/1992",KKV
AWM SC 13018(3),10,,,Raghunathan,"Sudha Raghunathan - Cmana, V.V. Ravi, Thiruvbrur Vaidyanathan",(3 of 3),y,"Rutgers University, 10/17/1992",KKV
AWM SC 13019(1),11,,,Raghunathan,"Sudita Ragunathan - Cmana, V.V. Ravi, Thirmvarnr Vaidyanathan",(1 of 3),y,10/17/92,KKV
AWM SC 13019(2),11,,,Raghunathan,Sudita Ragunathan - Cmana,(2 of 3),y,10/17/92,KKV
AWM SC 13019(3),11,,,Raghunathan,Sudita Ragunathan - Cmana,(3 of 3),y,10/17/92,KKV
AWM SC 13020(1),11,,,Raghunathan,Sudha Raghunathan,Mrs. Sudha Raghunathan (1 of 3),y,"Detroit, 11/1/1992",KKV
AWM SC 13020(2),11,,,Raghunathan,Sudha Raghunathan,Mrs. Sudha Raghunathan (2 of 3),y,"Detroit, 11/1/1992",KKV
AWM SC 13020(3),11,,,Raghunathan,Sudha Raghunathan,Mrs. Sudha Raghunathan (3 of 3),y,"Detroit, 11/1/1992",KKV
AWM SC 13021(1),11,,,Raghunathan,"Sudha Ragunathan, P. SundararaJan, T. Vaidyanathan, S. Karthic",Music Academy 1993 (1 of 2),y,1993,KKV
AWM SC 13021(2),11,,,Raghunathan,"Sudha Ragunathan, P. SundararaJan, T. Vaidyanathan, S. Karthic",Music Academy 1993 (2 of 2),y,1993,KKV
AWM SC 13022(1),11,,,Raghunathan,Sudha Raghunathan ,"The Michigan Tamil Sangam, MI (1 of 3)",y,"Michigan, 9/15/1996",KKV
